Designator,Footprint,Quantity,Value,LCSC Part #
C1,CP_Radial_D10.0mm_P5.00mm,1,220u,
"C10, C11, C16, C17, C18, C19, C20, C23, C30, C7, C8",0603,11,0.1u,
"C12, C24",0603,2,4.7u,
"C13, C14, C15, C2, C21, C22, C26, C28, C29, C3",0805,10,10u,
C25,0603,1,10p,
C27,0805,1,0.1u,
C31,0603,1,1u,
"C4, C5, C6",0603,3,1n,
C9,0603,1,C,
"D1, D12, D13, D14, D15, D16, D17, D18, D2, D3, D4, D5, D6, D7, D8, D9",0603,16,LED,
"D10, D11",SS2040FL,2,D,
"H1, H2, H3",MountingHole_3.2mm_M3,3,MountingHole,
H4,MountingHole_3.2mm_M3_DIN965_Pad,1,MountingHole,
IC1,SOIC127P600X175-8N,1,TJA1441AT_0Z,
IC2,A3944KLPTRT,1,A3921KLPTR-T,
IC3,TMP275AQDGKRQ1,1,TMP275AQDGKRQ1,
"J1, J2",JST_XH_S4B-XH-A_1x04_P2.50mm_Horizontal,2,Conn_01x04,
"J10, J11",JST_XH_S2B-XH-A_1x02_P2.50mm_Horizontal,2,Conn_01x02,
J3,JST_XH_S6B-XH-A_1x06_P2.50mm_Horizontal,1,Conn_01x06,
"J4, J8",ねじ端子(縦),2,Conn_01x01,
"J5, J7",ねじ端子(縦),2,Conn_01x01_Pin,
J6,TestPoint_2Pads_Pitch2.54mm_Drill0.8mm,1,Conn_01x02_Pin,
J9,PinHeader_1x04_P2.54mm_Vertical,1,Conn_01x04_Pin,
JP1,TestPoint_2Pads_Pitch2.54mm_Drill0.8mm,1,Jumper_2_Open,
"JP2, JP3, JP4, JP5",0603,4,SolderJumper_2_Open,
L1,0603,1,0.47u,
"R1, R12, R13, R14, R15, R38, R8",0603,7,20k,
R10,0603,1,120,
"R11, R26, R27",0603,3,1k,
"R16, R33, R34, R35, R36, R37, R4, R42, R43, R44, R45, R46, R47, R48, R49, R5, R50, R51, R52, R6, R9",0603,21,R,
"R17, R20, R21, R22, R23, R28, R29, R30, R7",0603,9,10k,
"R18, R19, R24, R25",0603,4,10,
"R2, R31",0603,2,13k,
"R3, R32",0603,2,2.4k,
R39,0603,1,88.7k,
R40,0603,1,19.6k,
R41,0603,1,100k,
"RV1, RV2",TSR-3296,2,10k,
"SW2, SW3",TVAF06,2,SW_Push,
U1,DRL0008A-MFG,1,TPS628511DRLR,
"U13, U14, U15, U16",SQJ180EP-T1_GE3,4,SQJ180EP-T1_GE3,
U2,QFN-48-1EP_7x7mm_P0.5mm_EP5.6x5.6mm,1,STM32G431CBUx,
U3,ISO674x,1,ISO6741FDWR,
U4,CZ3AG6,1,CZ3A07,
U5,SOT-23-6_Handsoldering,1,MCP3421A0T-ECH,
