Designator,Mid X,Mid Y,Rotation,Layer
C1,127.284877,-113.155343,0.0,bottom
C10,168.148,-128.573143,90.0,top
C11,165.8112,-139.342743,270.0,top
C12,177.7492,-134.618343,0.0,top
C13,160.4264,-131.494143,0.0,bottom
C14,159.4104,-127.557143,270.0,bottom
C15,129.032,-148.588343,0.0,top
C16,174.4472,-145.743543,90.0,top
C17,132.6388,-148.131143,180.0,top
C18,121.412,-151.026743,0.0,top
C19,172.3644,-124.053043,90.0,top
C2,177.038,-117.803543,180.0,top
C20,161.4932,-127.683043,270.0,bottom
C21,146.0754,-130.523143,180.0,bottom
C22,146.0715,-123.188343,0.0,bottom
C23,147.7264,-133.780143,180.0,top
C24,174.2948,-117.143143,90.0,top
C25,174.0916,-124.040543,90.0,top
C26,146.0715,-125.474343,0.0,bottom
C27,146.093,-127.760343,0.0,bottom
C28,177.1904,-126.795143,0.0,top
C29,173.3296,-126.795143,180.0,top
C3,177.038,-115.720743,180.0,top
C30,145.9484,-138.782843,90.0,top
C31,167.4368,-141.171543,270.0,top
C4,156.2608,-147.419943,270.0,top
C5,176.4792,-148.588343,0.0,top
C6,133.4516,-150.620343,90.0,top
C7,151.2824,-134.770743,90.0,top
C8,161.798,-146.454743,90.0,top
C9,172.3644,-117.143143,90.0,top
D1,189.6758,-134.669143,180.0,top
D10,181.9791,-115.669943,0.0,top
D11,179.4764,-121.562743,270.0,top
D12,189.738,-112.571143,180.0,top
D13,189.738,-110.691543,180.0,top
D14,126.61235,-127.607943,0.0,top
D15,146.05,-145.083143,90.0,top
D16,147.6756,-145.083143,90.0,top
D17,149.3012,-145.083143,90.0,top
D18,150.9268,-145.083143,90.0,top
D2,165.3032,-149.045543,90.0,top
D3,164.0332,-105.814743,0.0,top
D4,144.3736,-105.763943,180.0,top
D5,152.8064,-105.814743,180.0,top
D6,189.738,-114.399943,180.0,top
D7,189.6364,-137.412343,180.0,top
D8,189.6364,-140.155543,180.0,top
D9,189.5856,-142.898743,180.0,top
IC1,168.7576,-121.359543,90.0,top
IC2,153.4434,-126.552143,270.0,top
IC3,143.256,-140.257143,90.0,top
J1,173.7452,-112.287343,180.0,bottom
J10,143.4792,-112.287343,180.0,bottom
J11,151.8612,-112.287343,180.0,bottom
J2,160.2324,-112.287343,180.0,bottom
J3,182.0208,-118.208343,270.0,bottom
J4,98.1852,-134.872343,90.0,top
J5,130.8862,-99.214343,0.0,top
J7,117.8052,-99.232343,0.0,top
J8,105.8672,-111.424343,0.0,top
J9,177.0888,-141.933543,90.0,top
JP2,187.6552,-130.300343,270.0,top
JP3,189.23,-130.300343,270.0,top
JP4,186.0804,-130.300343,270.0,top
JP5,184.5056,-130.300343,270.0,top
L1,177.2412,-124.040543,270.0,top
R1,144.3736,-109.015143,0.0,top
R10,168.8592,-114.196743,180.0,top
R11,153.8732,-117.600343,180.0,top
R12,159.6644,-122.731143,270.0,top
R13,157.5308,-124.204343,90.0,bottom
R14,142.8242,-118.616343,0.0,top
R15,153.8732,-119.251343,180.0,top
R16,174.4472,-142.289143,90.0,top
R17,142.1892,-145.235543,90.0,top
R18,146.1008,-129.030343,180.0,top
R19,146.0754,-131.824343,180.0,top
R2,149.9108,-151.026743,0.0,top
R20,143.0274,-131.367143,270.0,bottom
R21,144.0434,-133.780143,180.0,top
R22,143.0274,-122.604143,90.0,bottom
R23,146.2024,-120.953143,0.0,top
R24,146.2024,-124.636143,180.0,top
R25,146.2024,-122.604143,180.0,top
R26,129.0828,-151.534743,0.0,top
R27,131.7244,-150.620343,270.0,top
R28,139.7508,-150.772743,180.0,top
R29,139.7508,-149.045543,180.0,top
R3,161.798,-149.855943,90.0,top
R30,143.764,-145.235543,90.0,top
R31,169.2148,-151.128343,0.0,top
R32,181.102,-150.213943,90.0,top
R33,166.878,-145.641943,270.0,top
R34,163.9824,-107.440343,0.0,top
R35,144.3717,-107.389543,180.0,top
R36,152.8064,-107.389543,180.0,top
R37,186.2328,-114.399943,0.0,top
R38,165.3032,-145.641943,270.0,top
R39,175.6664,-124.040543,90.0,top
R4,152.6032,-147.419943,90.0,top
R40,172.3644,-120.648343,90.0,top
R41,173.99,-120.648343,270.0,top
R42,185.2149,-134.669143,0.0,top
R43,185.2149,-136.193143,0.0,top
R44,185.2168,-137.717143,0.0,top
R45,185.2187,-139.241143,0.0,top
R46,188.0616,-115.974743,0.0,top
R47,183.6928,-112.774343,90.0,top
R48,130.37155,-127.607943,180.0,top
R49,150.368,-137.818743,180.0,top
R5,154.178,-147.419943,90.0,top
R50,150.368,-139.393543,180.0,top
R51,150.368,-140.968343,180.0,top
R52,150.368,-142.543143,180.0,top
R6,158.3436,-147.419943,90.0,top
R7,157.3784,-119.302143,180.0,top
R8,152.8064,-109.015143,0.0,top
R9,160.1724,-147.419943,90.0,top
RV1,156.3116,-150.719543,0.0,top
RV2,175.6156,-151.125943,0.0,top
SW2,179.7304,-146.454743,270.0,top
SW3,148.6802,-117.981343,90.0,top
U1,176.276,-120.495943,270.0,top
U13,135.382,-138.936343,270.0,top
U14,127.2132,-138.237843,0.0,top
U15,122.6312,-121.778643,0.0,top
U16,135.5217,-122.426343,270.0,top
U2,171.2129,-134.865543,90.0,top
U3,157.8356,-138.745843,90.0,top
U4,117.1702,-142.439343,270.0,top
U5,136.144,-149.909143,90.0,top
