Designator,Footprint,Quantity,Value,LCSC Part #
"C1_2, C1",CP_Radial_D10.0mm_P5.00mm,2,220u,
"C10_2, C10, C11_2, C11, C16_2, C16, C17_2, C17, C18_2, C18, C19_2, C19, C20_2, C20, C23_2, C23, C30_2, C30, C7_2, C7, C8_2, C8",0603,22,0.1u,
"C12_2, C12, C24_2, C24",0603,4,4.7u,
"C13_2, C13, C14_2, C14, C15_2, C15, C2_2, C2, C21_2, C21, C22_2, C22, C26_2, C26, C28_2, C28, C29_2, C29, C3_2, C3",0805,20,10u,
"C25_2, C25",0603,2,10p,
"C27_2, C27",0805,2,0.1u,
"C31_2, C31",0603,2,1u,
"C4_2, C4, C5_2, C5, C6_2, C6",0603,6,1n,
"C9_2, C9",0603,2,C,
"D1_2, D1, D12_2, D12, D13_2, D13, D14_2, D14, D15_2, D15, D16_2, D16, D17_2, D17, D18_2, D18, D2_2, D2, D3_2, D3, D4_2, D4, D5_2, D5, D6_2, D6, D7_2, D7, D8_2, D8, D9_2, D9",0603,32,LED,
"D10_2, D10, D11_2, D11",SS2040FL,4,D,
"H1_2, H1, H2_2, H2, H3_2, H3",MountingHole_3.2mm_M3,6,MountingHole,
"H4_2, H4",MountingHole_3.2mm_M3_DIN965_Pad,2,MountingHole,
"IC1_2, IC1",SOIC127P600X175-8N,2,TJA1441AT_0Z,
"IC2_2, IC2",A3944KLPTRT,2,A3921KLPTR-T,
"IC3_2, IC3",TMP275AQDGKRQ1,2,TMP275AQDGKRQ1,
"J1_2, J1, J2_2, J2",JST_XH_S4B-XH-A_1x04_P2.50mm_Horizontal,4,Conn_01x04,
"J10_2, J10, J11_2, J11",JST_XH_S2B-XH-A_1x02_P2.50mm_Horizontal,4,Conn_01x02,
"J3_2, J3",JST_XH_S6B-XH-A_1x06_P2.50mm_Horizontal,2,Conn_01x06,
"J4_2, J4, J8_2, J8",ねじ端子(縦),4,Conn_01x01,
"J5_2, J5, J7_2, J7",ねじ端子(縦),4,Conn_01x01_Pin,
"J6_2, J6",TestPoint_2Pads_Pitch2.54mm_Drill0.8mm,2,Conn_01x02_Pin,
"J9_2, J9",PinHeader_1x04_P2.54mm_Vertical,2,Conn_01x04_Pin,
"JP1_2, JP1",TestPoint_2Pads_Pitch2.54mm_Drill0.8mm,2,Jumper_2_Open,
"JP2_2, JP2, JP3_2, JP3, JP4_2, JP4, JP5_2, JP5",0603,8,SolderJumper_2_Open,
"L1_2, L1",0603,2,0.47u,
"R1_2, R1, R12_2, R12, R13_2, R13, R14_2, R14, R15_2, R15, R38_2, R38, R8_2, R8",0603,14,20k,
"R10_2, R10",0603,2,120,
"R11_2, R11, R26_2, R26, R27_2, R27",0603,6,1k,
"R16_2, R16, R33_2, R33, R34_2, R34, R35_2, R35, R36_2, R36, R37_2, R37, R4_2, R4, R42_2, R42, R43_2, R43, R44_2, R44, R45_2, R45, R46_2, R46, R47_2, R47, R48_2, R48, R49_2, R49, R5_2, R5, R50_2, R50, R51_2, R51, R52_2, R52, R6_2, R6, R9_2, R9",0603,42,R,
"R17_2, R17, R20_2, R20, R21_2, R21, R22_2, R22, R23_2, R23, R28_2, R28, R29_2, R29, R30_2, R30, R7_2, R7",0603,18,10k,
"R18_2, R18, R19_2, R19, R24_2, R24, R25_2, R25",0603,8,10,
"R2_2, R2, R31_2, R31",0603,4,13k,
"R3_2, R3, R32_2, R32",0603,4,2.4k,
"R39_2, R39",0603,2,88.7k,
"R40_2, R40",0603,2,19.6k,
"R41_2, R41",0603,2,100k,
"RV1_2, RV1, RV2_2, RV2",TSR-3296,4,10k,
"SW2_2, SW2, SW3_2, SW3",TVAF06,4,SW_Push,
"U1_2, U1",DRL0008A-MFG,2,TPS628511DRLR,
"U13_2, U13, U14_2, U14, U15_2, U15, U16_2, U16",SQJ180EP-T1_GE3,8,SQJ180EP-T1_GE3,
"U2_2, U2",QFN-48-1EP_7x7mm_P0.5mm_EP5.6x5.6mm,2,STM32G431CBUx,
"U3_2, U3",ISO674x,2,ISO6741FDWR,
"U4_2, U4",CZ3AG6,2,CZ3A07,
"U5_2, U5",SOT-23-6_Handsoldering,2,MCP3421A0T-ECH,
